,Ids,Prediction
308,24669,[143902.41812743]
309,51601,[-10112.59474972]
310,78431,[-139852.39924049]
311,99493,[-71458.76296772]
312,78261,[-3946.42026249]
313,20476,[-20725.33050863]
314,82735,[-5002347.35836379]
315,55749,[6878.05146907]
316,36333,[-30763.10675993]
317,51306,[2883.38319211]
318,24105,[4132.46456318]
319,42349,[-38588.41505875]
320,87458,[-1854.43103266]
321,58029,[35690.18940017]
322,81459,[-4597.79951735]
323,26213,[-29613.33266838]
324,29659,[-217140.61536371]
325,51954,[-670481.07554701]
326,81437,[-10825.94277071]
327,46460,[299950.65020531]
328,49076,[-11192.82671618]
329,27607,[20500.23571941]
330,43797,[-9894.23267548]
331,49762,[-11140.3769171]
332,58609,[4706803.8850992]
333,53677,[111328.58993931]
334,47295,[10900634.56591712]
335,89254,[4980.38741713]
336,56435,[-612412.47879721]
337,72554,[1176204.21785021]
338,95363,[-20325.82810402]
339,57127,[1184623.86810675]
340,82018,[-30404.82721913]
341,64601,[-6887.6123957]
342,28927,[2162709.96158696]
343,40074,[-25893.30955826]
344,41917,[2606.37488317]
345,53998,[176224.03393432]
346,79328,[-24209.27387606]
347,83347,[12091.73416085]
348,46466,[119571.99871837]
349,61109,[176700.56791321]
350,88334,[-1000949.25587559]
351,65721,[61992.93337453]
352,84515,[-5997.71802877]
353,24346,[-3621.16171869]
354,92882,[821781.2204992]
355,60407,[-249642.363593]
356,48277,[64130.92462882]
357,20095,[11025.60718236]
358,58156,[-23401.32019504]
359,52362,[-1392.89079669]
360,96243,[-6345.44289288]
361,81212,[588356.6811281]
362,68680,[3185.31187845]
363,40874,[-49891.21841379]
364,46565,[-10170.11664511]
365,69069,[1166.18842939]
366,41593,[-853330.56138165]
367,64866,[8906.59821582]
368,21409,[23040934.4537148]
369,21940,[-30153.60111084]
370,59262,[54317.38293127]
371,41446,[1348292.53730124]
372,75285,[-567622.14238189]
373,43391,[-5553.51292322]
374,62221,[534131.48442213]
375,36913,[-5467.43967986]
376,84237,[-26905.47605843]
377,35384,[-12378.15051393]
378,34044,[34194.99252763]
379,55024,[-23173.63223037]
380,53852,[-29424.25999537]
381,52589,[66337.57300444]
382,44129,[-10195.03172251]
383,28100,[14009245.13073803]
384,29875,[103171.64639574]
385,69528,[-601112.74483271]
386,21443,[-10382.75825443]
387,55628,[-196788.50746464]
388,62233,[-210216.37774813]
389,57633,[-345.0875432]
390,67929,[-496334.69962591]
391,25411,[598.42385297]
392,78781,[359087.38277842]
393,35545,[7046.04691678]
394,72787,[-16661.93424667]
395,56594,[-1961331.74063974]
396,93969,[-539305.74061732]
397,63284,[-21859.29230177]
398,71067,[-18304.68812567]
399,33317,[25261.16773145]
400,98172,[2932.20673463]
401,53361,[-335563.59118383]
402,52869,[55372.53047387]
403,93922,[-31137.67760127]
404,41135,[214368.66032134]
405,74952,[12557.9838695]
406,89211,[441832.81322159]
407,41200,[-27036.51982617]
408,35925,[10884.55970406]
409,37825,[-16999.89557057]
410,97234,[74026.63908566]
411,29834,[5318.41718322]
412,70026,[1009438.73131855]
413,91060,[141501.98295658]
414,62120,[-14167.54238206]
415,29112,[-4954.09796465]
416,31461,[-23083.01709094]
417,78740,[-848555.57320826]
418,55054,[-5332.26075377]
419,60981,[-12984.27491228]
420,43244,[-40704.43544672]
421,58145,[3688990.37281891]
422,60117,[4966.74409927]
423,45943,[1243.39586794]
424,87893,[10895.67320295]
425,40506,[269871.84248528]
426,72566,[15311.08592093]
427,24613,[-1601638.47439127]
428,66490,[-370655.1089384]
429,87096,[-3500.37219526]
430,43190,[105180.12435135]
431,75405,[-5277.84267094]
432,96287,[-27487.48574639]
433,75310,[-8512.54006605]
434,73241,[-3222.32668432]
435,84278,[-8518.76871955]
436,76614,[-9993.45526291]
437,98329,[-2582464.81279842]
438,54562,[-6468.06664763]
439,48447,[-24411.52177086]
440,91539,[18897.50039902]
441,46593,[6492.46731457]
442,34241,[-10329.34086811]
443,75234,[21075.49817719]
444,47262,[329371.21571939]
445,33753,[-116241.86767033]
446,62940,[-12569.47381738]
447,31826,[-5301465.94735973]
448,48485,[-7017.2444566]
449,30770,[-37794.19173348]
450,31880,[6487470.58723574]
451,94451,[-40206.15543845]
452,78617,[-15701.54338594]
453,71035,[-3577288.17272405]
454,54300,[-257164.40765103]
455,85644,[-201312.7025725]
456,40430,[23329.18456913]
457,60420,[54389.32622207]
458,56957,[2239148.56585192]
459,81481,[-363461.95855428]
460,81698,[4152.69736421]
461,78140,[178740.88939133]
462,83164,[-7535.59426705]
463,75499,[-111697.66920101]
464,75046,[11772.17292717]
465,43047,[1769.37822333]
466,27642,[-25782.77976123]
467,26958,[5605.25393707]
468,49720,[5822.53667121]
469,66990,[1222.9340418]
470,37878,[-43948.729849]
471,63508,[-10701.54677301]
472,61888,[-197819.93121296]
473,56661,[-8835.47207856]
474,33923,[-3886.84061851]
475,42070,[3269.42003709]
476,58333,[9829.92357867]
477,91441,[-4322.50807168]
478,48461,[-1256465.42305358]
479,46940,[-49454.59909968]
480,30954,[154407.98413471]
481,60657,[-2320.82604184]
482,67762,[-23280.60399581]
483,72968,[-267283.80120077]
484,86675,[53653.2495549]
485,63570,[-133924.19529427]
486,52507,[-35435.77959266]
487,81672,[-24642.50393125]
488,82026,[201529.71674077]
489,96186,[13309.40852754]
490,29440,[883558.3008523]
491,84218,[135905.72364488]
492,53235,[-5210670.8869993]
493,89364,[-19899.54315232]
494,42037,[-6222.43794015]
495,85374,[6541.4012354]
496,26651,[-197997.30457383]
497,97309,[-12789.91389861]
498,68259,[566541.91611164]
499,82299,[1490.79601528]
500,37594,[-4019485.74598403]
501,66640,[-70309.19386537]
502,21942,[-26204.44905739]
503,56204,[14162.10366469]
504,42842,[15968.78821464]
505,42882,[8588.2581047]
506,47323,[22818585.65479624]
507,86979,[123320.11461009]
508,46082,[171772.02988318]
509,38404,[912360.68453778]
510,86248,[5337.39955284]
511,74353,[-731766.68994404]
512,33902,[-11858.70019018]
513,41886,[2420611.74105286]
514,87017,[-20001.28379477]
515,55188,[1256619.68170328]
516,89865,[-23076.36430807]
517,26700,[13334.79202458]
518,26887,[-4509.06933702]
519,89051,[-623112.81587544]
520,82620,[-171759.81922348]
521,53560,[6747.23756496]
522,76142,[265992.04325403]
523,72812,[14025.01929015]
524,22617,[17896.63004355]
525,37963,[17300.95827982]
526,46906,[-30595.32199516]
527,64937,[6648.86033331]
528,35377,[145732.58327155]
529,33416,[15236.28897363]
530,89043,[-22096.32349216]
531,56867,[-1541580.83899724]
532,28008,[2022295.54081641]
533,82574,[-13450.87077864]
534,71789,[503805.37985064]
535,60523,[-119842.87761119]
536,46464,[-5021.60821907]
537,48172,[17824.45881997]
538,64132,[-7456.73476806]
539,53264,[190592.96997454]
540,92152,[3741.34155246]
541,28193,[-32606.70423354]
542,71748,[25293.28227675]
543,73839,[766918.2349099]
544,25569,[14228.0303083]
545,81172,[119634.11020849]
546,72726,[6674.17579178]
547,36828,[-28044.03816301]
548,92003,[-6341.02583188]
549,46143,[8912.03168502]
550,30595,[32521.05754671]
551,94866,[-25747.21491169]
552,92153,[193454.96121354]
553,60584,[-631062.39672851]
554,35692,[5622.6119392]
555,36801,[2732.88616887]
556,26986,[-7303.32526446]
557,88518,[-229613.22629705]
558,71781,[101210.1484137]
559,28770,[-216430.35112258]
560,65927,[-2307.33384266]
561,93187,[-3656.25789582]
562,38548,[-31390.78412222]
563,60907,[-29359.76171043]
564,27361,[345319.44775549]
565,38323,[10840.36336089]
566,60790,[13366.03954899]
567,69742,[12784.52857613]
568,65307,[988885.8027498]
569,27372,[-65509.11726622]
570,71044,[407371.54070609]
571,40432,[-27945.18232524]
572,83570,[97607.00225583]
573,76772,[-92662.73707586]
574,88414,[8037.68129093]
575,29455,[17839.77100365]
576,66053,[-1504886.19781932]
577,99327,[18988.40220705]
578,44010,[-24285.28424006]
579,59815,[21305.57481561]
580,76527,[1991465.30514138]
581,47650,[433710.43579136]
582,30659,[4180.5253948]
583,69071,[-520.79826048]
584,28819,[-163328.0065143]
585,57743,[261798.00017606]
586,46755,[-14058.85855165]
587,57445,[-412715.79716429]
588,51324,[5805.66885029]
589,60627,[4589855.98351789]
590,70220,[452.96502127]
591,98160,[13770.9015819]
592,98546,[-7125.80196801]
593,96471,[8415.76746739]
594,26227,[51059.66930533]
595,88056,[-28429.27071211]
596,88845,[-30463.9206002]
597,51603,[4102.63690157]
598,25271,[-22368.25349794]
599,53460,[1398224.50264959]
600,75927,[75197.86897981]
601,25186,[176.94954623]
602,95891,[141371.93995402]
603,72991,[3465535.63576859]
604,44254,[8635936.16227811]
605,20976,[-1185256.23680067]
606,41137,[143245.7428419]
607,31091,[4426428.62734036]
608,26344,[44768.66462765]
609,65434,[-9185.79199599]
610,95015,[6423.99328767]
611,20651,[22468.66311168]
612,93361,[-22980.7195155]
613,32186,[-475101.94883849]
614,48158,[-32945.32829992]
615,25043,[564217.53163121]
616,28633,[-167227.72286216]
617,46604,[15832.85388419]
618,75123,[1570975.57794438]
619,49020,[-1054.40763007]
620,93433,[-20542.1455443]
621,22685,[203586.84086566]
622,48982,[4749.35725302]
623,28106,[-72240.81852054]
624,63793,[3801.28684937]
625,22249,[21980.21688877]
626,61578,[2478.55437492]
627,41928,[53.59798263]
628,57377,[3303.00565841]
629,64247,[5630.09112106]
630,47344,[6381.54312877]
631,42240,[4155.1628675]
632,81741,[-9722.91543216]
633,25243,[5527.95110858]
634,70543,[-2785.90371174]
635,22767,[-34225.31372629]
636,81148,[-9519.03305121]
637,78192,[-17503.82623453]
638,46169,[-4352170.66730755]
639,42513,[-19318.12306612]
640,93740,[5338.06225402]
641,65015,[37916.67484449]
642,34485,[-10491.93495732]
643,30988,[12852.53187469]
644,20615,[-55986.37182981]
645,23888,[256356.60537266]
646,84400,[-3505.82168089]
647,38488,[-8147.98712175]
648,91912,[2661728.75864575]
649,80644,[-462.62743795]
650,41967,[61364.16731342]
651,54559,[-22646.8889772]
652,44774,[-19871354.51355016]
653,94812,[-1218.60457574]
654,38308,[-1061.63531385]
655,21961,[-18172.43708961]
656,97951,[-7689.79479626]
657,30591,[-604.69309719]
658,51894,[206.98919694]
659,23626,[-2520613.00059028]
660,91571,[-10611.84869251]
661,64671,[-59685.48905695]
662,40216,[46204.51569713]
663,86552,[-17373.76076228]
664,35148,[332492.94461599]
665,90720,[6404.439675]
666,69677,[-57.55187071]
667,60509,[-39800.95486132]
668,60814,[-295255.36170263]
669,49168,[5308.83923363]
670,55207,[2707034.00690932]
671,81281,[-12987.50360497]
672,36425,[-120.57932241]
673,52727,[-16412.2361554]
674,83206,[5201253.1083488]
675,64406,[-6856.97043767]
676,96078,[195580.52824566]
677,37391,[17630.32836913]
678,32887,[1922.3207385]
679,44763,[7774.04073946]
680,69345,[-15138.97197653]
681,20585,[-13418.23784942]
682,62795,[-12130.86497162]
683,83721,[-7255.85620297]
684,40884,[-142789.93071634]
685,64302,[-3007710.92368828]
686,28875,[575314.02932629]
687,63497,[5891.83763791]
688,20655,[364192.26242438]
689,33047,[-862.65764745]
690,38397,[-18507.19315953]
691,50272,[-268676.93264125]
692,78070,[10352.68445968]
693,78051,[-375605.33671539]
694,65124,[-11853.14692751]
695,23591,[-15042.90749148]
696,83652,[-4826.56383125]
697,60031,[151246.73021677]
698,40516,[18453.46837382]
699,66609,[57495.05162405]
700,70151,[16063.08155429]
701,32006,[10878.81693702]
702,91589,[-1906.06303154]
703,53185,[1295402.69848293]
704,35175,[17571.14708902]
705,72198,[-14726.07045672]
706,84538,[1122.95491553]
707,25515,[2987316.66701718]
708,30593,[-18092.9337251]
709,72954,[1964.87547319]
710,32407,[-11453.73724928]
711,31384,[33291.08648721]
712,77150,[188549.67766485]
713,76623,[13592.53296765]
714,47184,[24021.38456498]
715,43589,[-398655.26256833]
716,41225,[34248.20668373]
717,48099,[-6453.5318312]
718,40352,[-9591.45663028]
719,41890,[-6916.86068015]
720,58488,[-3916375.55654862]
721,22553,[-53836.81012277]
722,28451,[-20595.20743616]
723,93359,[876642.02378845]
724,99383,[8482.99587976]
725,32285,[-426.12926839]
726,96932,[-4471.38079529]
727,47035,[9566.83351363]
728,26135,[175372.67846935]
729,52915,[17687.9537832]
730,41259,[1998.20877398]
731,83270,[-131854.99505689]
732,32970,[2767.37161856]
733,36014,[29814.12175941]
734,73025,[422.68435052]
735,20864,[-16547.16603785]
736,26216,[-29196.50086397]
737,75742,[364201.40116729]
738,63998,[-32349.97196799]
739,39379,[3395.81460168]
740,37020,[1817.08013367]
741,81211,[15665288.32357734]
742,22700,[7092.89269151]
743,68869,[-28316.06385001]
744,43908,[20198.84504418]
745,30657,[9985.06488239]
746,88957,[1236.43811156]
747,59892,[-51066.57414671]
748,90353,[276332.04767812]
749,94701,[-8819.54531054]
750,36514,[9660.9725602]
751,24603,[-14833.85219487]
752,22204,[-25330.81044514]
753,30079,[592.44644487]
754,84726,[-3152.94387755]
755,23130,[-16039.00572583]
756,33682,[-141230.76611074]
757,65841,[2802967.51666678]
758,43007,[188464.49088199]
759,62898,[74601.82191655]
760,78546,[-18844.93380594]
761,38553,[110002.57711506]
762,87268,[3229.20926971]
763,55599,[-56950.28233154]
764,69617,[45635.22080847]
765,84895,[1280.29131737]
766,52142,[57345.46990314]
767,85474,[-111536.17000152]
768,62800,[-7921812.61032251]
769,55073,[-9553679.53918808]
770,63334,[15774.03519336]
771,88087,[3689.69046414]
772,36501,[-15705039.45412531]
773,69683,[22831.46420945]
774,50642,[-14317.34768485]
775,40440,[990812.52106163]
776,54341,[529830.55924809]
777,66494,[175931.61188492]
778,33904,[2493.74157127]
779,20628,[38265.31687179]
780,78050,[6492439.40263411]
781,44536,[314620.91605329]
782,24229,[22978.91776901]
783,27516,[3216.24747147]
784,40174,[-10208.56956783]
785,92106,[2057.69753828]
786,20426,[-18862.67807638]
787,26291,[479.63492246]
788,71481,[6692.10997088]
789,36476,[293581.66162415]
790,29465,[27191.74557018]
791,33030,[-31842.87900865]
792,74022,[-448492.09231045]
793,70360,[-5734.01674095]
794,26505,[5153.02527583]
795,26477,[372921.6467356]
796,91964,[-4226242.63177922]
797,93240,[-841454.76691051]
798,82070,[-174236.38478336]
799,43869,[-57265.45260544]
800,98992,[-8600.53113882]
801,43995,[-7345.89114434]
802,53061,[1304055.25789504]
803,52469,[10360.83737791]
804,27325,[-188475.12875298]
805,50562,[-7340.33500903]
806,37823,[7330.61783422]
807,55606,[196697.65591585]
808,79189,[-248807.91144174]
809,93026,[-14257.06212551]
810,47545,[19693.85427998]
811,71197,[36969.09557985]
812,94625,[96388.59231575]
813,34533,[9826.25559526]
814,43162,[-3207.11425284]
815,62248,[13000.19488968]
816,85597,[16955.18389042]
817,74179,[-6493.28894204]
818,98003,[-1229.94643286]
819,87457,[3983.36797768]
820,62209,[-2003.13161526]
821,79449,[195968.05055514]
822,51021,[-865350.99102899]
823,87672,[-939787.28016703]
824,67221,[12093.81506616]
825,39546,[4111833.32065423]
826,76276,[280540.85737736]
827,89044,[96022.00977033]
828,93274,[-1657537.73539302]
829,72579,[1316.41625889]
830,88985,[-8647.24677648]
831,48646,[-46891.16446163]
832,40778,[26093.2306819]
833,70967,[44150.95673985]
834,99476,[17018.87938222]
835,48236,[-28340.47336458]
836,65761,[-7594.2390805]
837,53086,[-14826.27007883]
838,81595,[-294786.34510053]
839,86629,[4296.93901378]
840,86241,[-1099062.8541327]
841,77840,[-310366.22528385]
842,22291,[-546379.71706432]
843,35633,[22910.16192621]
844,33010,[9974.78901592]
845,41859,[11458.29341335]
846,66788,[417663.7272091]
847,41648,[-9175.67626705]
848,73584,[8852.08007496]
849,24953,[-2519049.68382465]
850,57585,[-3526.02630064]
851,60960,[-9583.41667626]
852,81338,[-11008.45470518]
853,62164,[-8193.81026801]
854,28440,[60772.27922083]
855,54165,[-3257.29893971]
856,93093,[9423.07609451]
857,21885,[17538.47408068]
858,65880,[-12837.11063539]
859,30756,[3750.00845729]
860,82619,[-9091.51918978]
861,70103,[-8949.95533928]
862,96631,[-1646.43647476]
863,87069,[15974.15150589]
864,86330,[-8421.35563452]
865,68106,[9810.39241918]
866,38152,[-85258.52944536]
867,98397,[-26809.68022939]
868,80855,[-1903450.51115097]
869,50007,[-151876.17792427]
870,34503,[-4756016.91429817]
871,91957,[5681.81702551]
872,56548,[11945.32548884]
873,49354,[-6676.73758326]
874,31435,[-22400.89257491]
875,44321,[171448.14625016]
876,28351,[-21893.75055765]
877,29657,[-219021.66241425]
878,64788,[-5392.34887287]
879,55945,[2137199.64946721]
880,79098,[-10452.39629759]
881,38132,[-2665.89691606]
882,22479,[75932.39854329]
883,25216,[1322507.97612513]
884,37469,[-6758.68120424]
885,54063,[5358497.00642902]
886,63185,[448879.33503637]
887,40665,[9.31811038]
888,83148,[101.49107817]
889,72052,[57868.90753468]
890,68501,[25293.06266331]
891,41570,[3824267.95632821]
892,90557,[207250.08321882]
893,28347,[37533.92012241]
894,70369,[-34382.77948689]
895,70298,[-391614.59940748]
896,51118,[8176.91874027]
897,81423,[5929.94201688]
898,76387,[-278273.42928274]
899,54465,[7796158.75692242]
900,34462,[-802865.12700515]
901,59513,[4671.87753738]
902,29870,[334292.48311386]
903,69552,[4414.98726996]
904,63465,[-5385.71825989]
905,89918,[14570.33710117]
906,40233,[5478865.61762693]
907,47176,[97780.38562746]
908,23977,[2008843.43386299]
909,91288,[-22943.54331691]
910,52183,[-2673962.86506221]
911,65822,[89501.30362386]
912,52448,[129321.55216894]
913,62524,[-30783.16541453]
914,92395,[1280.4891475]
915,66597,[80811.27273862]
916,92857,[-687.51368298]
917,36634,[23382.15967499]
918,81658,[11436.08962929]
919,64999,[-9666.08035308]
920,73413,[5930.02257529]
921,20235,[28294.17245357]
922,90693,[-7847.64893364]
923,74480,[22402.73454422]
924,82895,[-50370.82598036]
925,20648,[-17306.25704604]
926,37984,[-7332.12701502]
927,65837,[-5574.86422484]
928,94032,[-147.5939091]
929,47031,[5363597.91559726]
930,99371,[159431.14073199]
931,73126,[-458884.46224312]
932,54773,[14489.05675828]
933,90990,[397547.87417251]
934,29312,[-42319.98206746]
935,69885,[11267.18323857]
936,48009,[-7054.38923174]
937,95175,[56731.21390465]
938,75224,[2649.87276027]
939,34154,[-7824.90628755]
940,44308,[-7038.37835596]
941,82696,[-10144.0714712]
942,80154,[58312.9083901]
943,46298,[1652.57000075]
944,69467,[-175861.25468291]
945,38603,[-4663.69223708]
946,48289,[-5193.00115076]
947,86073,[-413327.35643264]
948,43891,[27775.689769]
949,22610,[-14838.51991756]
950,71719,[-268.68919482]
951,27439,[68744.59198187]
952,48049,[-194.54442818]
953,98629,[-59764.20016936]
954,30015,[16166.37122074]
955,95125,[29640.88967728]
956,96931,[138929.29077651]
957,47498,[-8267.34525181]
958,97573,[-1047541.59560824]
959,52719,[19468.58286221]
